Base,Base2,Milk,Flavor,Texture,drinkEN
Black tea,Lemon juice,No,No,No,Lemon black tea
Black tea,Pineapple juice,No,No,No,Pineapple black tea
Black tea,Lemon juice,No,No,Ice shavings,Lemon ice shavings black tea
Green tea,Grapefruit juice,No,No,No,Grapefruit green tea
Green tea,Pear juice,No,No,Osmanthus agar pearl,Green tea with pear juice and osmanthus agar pearl
Green tea,Kumquat juice,No,No,No,Kumquat green tea
Green tea,Kumquat plum juice,No,No,No,Kumquat plum green tea
Green tea,Lemon juice,No,No,No,Lemon green tea
Green tea,Lemon plum juice,No,No,No,Lemon plum green tea
Green tea,Orange juice,No,No,No,Orange green tea
Green tea,Passion fruit juice,No,No,"Boba, coconut jelly",Boba passion fruit green tea with coconut jelly
Green tea,Plum juice,No,No,No,Plum green tea
Green tea,Yuzu juice,No,No,No,Yuzu green tea
Green tea,Orange juice,No,No,Ice shavings,Orange ice shavings green tea
Green tea,Lemon juice,No,No,Ice shavings,Lemon ice shavings green tea
Green tea,Roselle juice,No,No,No,Iced roselle with green tea smoothie
Matcha tea,Passion fruit juice,No,No,Konjac jelly,Matcha with passion fruit konjac jelly
Oolong tea,Orange juice,No,No,No,Orange oolong tea
Oolong tea,Sugarcane juice,No,No,No,Sugarcane oolong tea
Oolong tea,Lemon juice,No,No,Ice shavings,Lemon ice shavings oolong tea
Winter melon tea,Plum juice,No,No,No,Plum winter melon tea
