Base,Base2,Milk,Flavor,Texture,drinkEN
Coffee,No,Fresh milk,No,No,Cafe latte
Coffee,No,Milk powder,No,No,Milk coffee
Ice,No,Fresh milk,Cocoa,OREO,OREO cocoa smoothie
Ice,No,Fresh milk,Taro puree,No,Taro milkshake
Ice,No,Fresh milk,Mung bean puree,No,Mung bean smoothie with thick milk
Ice,No,Fresh milk,Taro puree,Red beans,Taro milkshake with red beans
Ice,No,Fresh milk,Taro puree,Purple sweet potato boba,Taro milkshake with purple sweet potato boba
No,No,Fresh milk,Cocoa,No,Chocolate latte
No,No,Milk powder,Cocoa,No,Chocolate milk
No,No,Fresh milk,Brown sugar,No,Brown sugar milk
No,No,Fresh milk,Brown sugar,Boba,Boba brown sugar milk
No,No,Fresh milk,Brown sugar,Grass jelly,Brown sugar milk with grass jelly
No,No,Fresh milk,Taro puree,No,Taro milk
No,No,Fresh milk,No,Boba,Boba milk
No,No,Fresh milk,Taro puree,Taro balls,Taro milk with taro balls
No,No,Fresh milk,No,Grass jelly,Grass jelly milk
No,No,Fresh milk,Taro puree,Sago,Taro milk with sago
No,No,Fresh milk,Taro puree,"Boba, coconut jelly, taro balls",Taro milk with boba coconut jelly taro balls
No,No,Fresh milk,Taro puree,"Boba, taro balls, sago, red beans",Taro milk with boba red beans taro balls and sago
Ovaltine,No,Fresh milk,No,No,Ovaltine latte
Ovaltine,No,Milk powder,No,No,Ovaltine
