Base,Base2,Milk,Flavor,Texture,drinkEN
Apple cider vinegar,Black tea,No,No,No,Apple cider vinegar black tea
Apple cider vinegar,Black tea,No,Honey,No,Honey apple cider vinegar black tea
Apple cider vinegar,No,No,Honey,No,Honey apple cider vinegar
Apple cider vinegar,No,No,No,Aloe jelly,Apple cider vinegar with aloe jelly
Apple cider vinegar,No,No,No,No,Apple cider vinegar
Yakult,Black tea,No,Peach,No,Peach black tea with yakult
Blueberry cider vinegar,Black tea,No,No,No,Blueberry vinegar black tea
Blueberry cider vinegar,No,No,Honey,No,Honey blueberry vinegar
Blueberry cider vinegar,No,No,No,Aloe jelly,Blueberry vinegar with aloe jelly
Blueberry cider vinegar,No,No,No,No,Blueberry vinegar
Blueberry cider vinegar,Yakult,No,No,No,Blueberry vinegar yakult
Yakult,Grapefruit juice,No,No,No,Grapefruit yakult
Yakult,Green tea,No,No,No,Yakult green tea
Yakult,Green tea,No,No,Aloe jelly,Yakult green tea with aloe jelly
Yakult,Lemon juice,No,No,No,Lemon yakult
