Base,Base2,Milk,Flavor,Texture,drinkEN
Oolong tea,No,No,No,"Boba, coconut jelly",Boba coconut jelly oolong tea
Barley tea,No,No,No,No,Barley tea
Barley tea,Winter melon tea,No,No,No,Winter melon barley tea
Black tea,No,No,No,No,Black tea
Black tea,No,No,No,"Boba, ice cream, pudding",Boba ice cream pudding black tea
Black tea,Coffee,No,No,No,Coffee black tea
Black tea,Flower tea,No,No,No,Flowery black tea
Black tea,Peach tea,No,No,No,Peach black tea
Black tea,Fruit tea,No,No,No,Fruity black tea
Black tea,Winter melon tea,No,No,No,Winter melon black tea
Black tea,No,No,No,Boba,Boba black tea
Black tea,No,No,No,Pearl,Pearl black tea
Black tea,No,No,No,Pudding,Pudding black tea
Black tea,No,No,No,Ice cream,Ice cream black tea
Ginger tea,No,No,No,No,Ginger tea
Ginger tea,No,No,No,Dried longan,Longan ginger tea
Green tea,No,No,Honey,No,Honey green tea
Green tea,No,No,No,No,Jasmine green tea
Green tea,Oolong tea,No,No,No,Oolong green tea
Green tea,Winter melon tea,No,No,No,Winter melon green tea
Green tea,No,No,No,Boba,Boba green tea
Green tea,No,No,No,Pearl,Pearl green tea
Green tea,No,No,No,Pudding,Pudding green tea
Matcha tea,No,No,No,Ice cream,Ice cream matcha
Oolong tea,No,No,No,No,Oolong tea
Oolong tea,No,No,No,Boba,Boba oolong tea
Oolong tea,No,No,No,Pearl,Pearl oolong tea
Oolong tea,No,No,No,Pudding,Pudding oolong tea
Oolong tea,No,No,Honey,No,Honey oolong tea
Oolong tea,No,No,No,Mashed sweet potato,Oolong tea with mashed sweet potato
Oolong tea,Winter melon tea,No,No,No,Winter melon oolong tea
Puer tea,No,No,No,No,Puer tea
Red dates tea,No,No,No,Dried longan,Longan red dates tea
Winter melon tea,No,No,No,No,Winter melon tea
Winter melon tea,No,No,No,Grass jelly,Winter melon tea with grass jelly
Winter melon tea,No,No,No,No,Winter melon tea
Winter melon tea,No,No,No,"Boba, wood ear, agar pearl",Winter melon tea with agar pearl and boba and wood ear
Winter melon tea,No,No,No,"Sago, wood ear, agar pearl",Winter melon tea with agar pearl and sago and wood ear
Winter melon tea,No,No,No,No,Winter melon tea
Winter melon tea,No,No,No,Wood ear,Winter melon tea with wood ear
Winter melon tea,No,No,No,Taro balls,Winter melon tea with taro balls
