Base,Base2,Milk,Flavor,Texture,drinkEN
Lemon juice,Kumquat juice,No,No,No,Kumquat lemonade
Lemon juice,No,No,Honey,Aloe jelly,Honey lemon juice with aloe jelly
Lemon juice,No,No,Honey,No,Honey lemon juice
Lemon juice,No,No,No,No,Lemon juice
Lemon juice,Plum juice,No,No,No,Lemon plum juice
Lemon juice,Winter melon tea,No,No,No,Lemon winter melon tea
Kumquat juice,No,No,No,No,Kumquat juice
Kumquat juice,Plum juice,No,No,No,Kumquat plum juice
Orange juice,Mixed fruit juice,No,Passionfruit puree,Pineapple chunk,Tropical fruit tea
Grape juice,No,No,No,Aloe jelly,Grape juice with aloe vera jelly
Grapefruit juice,No,No,No,No,Grapefruit juice
Mango juice,Ice,No,Taro puree,Sago,Taro smoothie with mango and sago
Roselle plum juice,Ice,No,No,No,Iced roselle plum juice
Yuzu juice,No,No,No,No,Fresh yuzu juice
